"Date(s)","Date de la mesure du min/max (TU)","Début(s) de saison(s)","Fin(s) de saison(s)","Débit (m³/s)","Rang","Qualification(s)","Fréquence au non dépassement"
"2012-12-20T00:00:00.000Z","2012-12-20T07:41:00.000Z","2012-09-01T00:00:00.000Z","2013-08-31T00:00:00.000Z","2.94","38","20","0.7979"
"2019-12-21T00:00:00.000Z","2019-12-21T17:24:00.000Z","2019-09-01T00:00:00.000Z","2020-08-31T00:00:00.000Z","3.13","39","12","0.8191"
"2021-02-03T00:00:00.000Z","2021-02-03T13:18:00.000Z","2020-09-01T00:00:00.000Z","2021-08-31T00:00:00.000Z","3.13","40","12","0.8404"
"1977-02-20T00:00:00.000Z","1977-02-20T03:58:00.000Z","1976-09-01T00:00:00.000Z","1977-08-31T00:00:00.000Z","3.14","41","12","0.8617"
"2018-12-15T00:00:00.000Z","2018-12-15T09:18:00.000Z","2018-09-01T00:00:00.000Z","2019-08-31T00:00:00.000Z","3.26","42","12","0.883"
"2016-01-18T00:00:00.000Z","2016-01-18T09:40:00.000Z","2015-09-01T00:00:00.000Z","2016-08-31T00:00:00.000Z","3.55","43","12","0.9043"
"2022-12-31T00:00:00.000Z","2022-12-31T09:48:00.000Z","2022-09-01T00:00:00.000Z","2023-08-31T00:00:00.000Z","3.84","44","12","0.9255"
"2000-12-12T00:00:00.000Z","2000-12-12T18:21:00.000Z","2000-09-01T00:00:00.000Z","2001-08-31T00:00:00.000Z","3.94","45","20","0.9468"
"2014-02-11T00:00:00.000Z","2014-02-11T16:02:00.000Z","2013-09-01T00:00:00.000Z","2014-08-31T00:00:00.000Z","4.51","46","20","0.9681"
"1995-01-27T00:00:00.000Z","1995-01-27T22:19:00.000Z","1994-09-01T00:00:00.000Z","1995-08-31T00:00:00.000Z","5.32","47","12","0.9894"
